Size (n) , Time(Nanoseconds)
1000 , 2258
1100 , 2483
1200 , 2698
1300 , 7303
1400 , 3043
1500 , 3375
1600 , 3420
1700 , 3659
1800 , 3824
1900 , 8985
2000 , 7450
2100 , 7967
2200 , 8424
2300 , 12022
2400 , 9328
2500 , 10125
2600 , 10267
2700 , 11650
2800 , 13553
2900 , 11490
3000 , 11797
3100 , 19293
3200 , 12759
3300 , 13577
3400 , 13809
3500 , 14411
3600 , 14810
3700 , 18033
3800 , 16108
3900 , 16779
4000 , 16955
4100 , 17095
4200 , 17777
4300 , 17819
4400 , 18736
4500 , 18752
4600 , 19513
4700 , 19450
4800 , 20356
4900 , 20838
5000 , 21180
5100 , 22296
5200 , 22022
5300 , 22799
5400 , 22838
5500 , 23722
5600 , 23655
5700 , 23866
5800 , 24570
5900 , 26461
6000 , 27212
6100 , 25750
6200 , 26074
6300 , 26984
6400 , 26893
6500 , 27312
6600 , 27742
6700 , 28605
6800 , 48458
6900 , 29986
7000 , 30467
7100 , 50184
7200 , 31343
7300 , 31665
7400 , 51055
7500 , 46488
7600 , 61452
7700 , 33120
7800 , 33794
7900 , 34440
8000 , 34779
8100 , 35535
8200 , 35969
8300 , 36556
8400 , 73306
8500 , 36853
8600 , 57627
8700 , 37867
8800 , 39252
8900 , 57846
9000 , 70074
9100 , 40683
9200 , 40959
9300 , 40304
9400 , 40741
9500 , 40816
9600 , 41058
9700 , 40753
9800 , 41498
9900 , 41307
10000 , 44760
